Ticker,Nome
MGLU3,Magazine Luiza
HAPV3,Hapvida
PETR4,Petrobras
B3SA3,B3
USIM5,Usiminas
CVCB3,CVC
CIEL3,Cielo
VALE3,Vale
GOLL4,GOL
BBDC4,Banco Bradesco
AZUL4,Azul
COGN3,Cogna
ITSA4,Itaúsa
ITUB4,Itaú Unibanco
PETZ3,Petz
MRVE3,MRV
NTCO3,Natura
LREN3,Lojas Renner
EQTL3,Equatorial Energia
RENT3,Localiza
OIBR3,Oi
AMER3,Americanas
PETR3,Petrobras
LWSA3,Locaweb
CPLE6,Copel
CXSE3,Caixa Seguridade
SOMA3,Grupo Soma
BBAS3,Banco do Brasil
SEQL3,Sequoia Logística
RAIL3,Rumo
PRIO3,PetroRio
CPLE3,Copel
BRFS3,BRF
ABEV3,Ambev
QUAL3,Qualicorp
RCSL4,Recrusul
MLAS3,Multilaser
CSNA3,Siderúrgica Nacional
BEEF3,Minerva
ASAI3,Assaí
CMIG4,CEMIG
IFCM3,Infracommerce
RAIZ4,Raízen
PCAR3,Grupo Pão de Açúcar
VAMO3,Grupo Vamos
GGBR4,Gerdau
POMO4,Marcopolo
CMIN3,CSN Mineração
MTRE3,Mitre Realty
ANIM3,Ânima Educação
CYRE3,Cyrela
GMAT3,Grupo Mateus
RCSL3,Recrusul
MRFG3,Marfrig
GFSA3,Gafisa
RADL3,RaiaDrogasil
WEGE3,WEG
UGPA3,Ultrapar
MULT3,Multiplan
GOAU4,Metalúrgica Gerdau
TIMS3,TIM
MOVI3,Movida
CRFB3,Carrefour Brasil
ARZZ3,Arezzo
TEND3,Construtora Tenda
HYPE3,Hypera
VITT3,Vittia
BBDC3,Banco Bradesco
YDUQ3,YDUQS
AERI3,Aeris Energy
BHIA3,Casas Bahia
SUZB3,Suzano
SBFG3,Grupo SBF
BRAP4,Bradespar
PGMN3,Pague Menos
BBSE3,BB Seguridade
HBSA3,Hidrovias do Brasil
CBAV3,CBA
AURE3,VTRM ENERGIA PARTICIPAÃiES S.A.
CASH3,Méliuz
DXCO3,Dexco
RRRP3,3R Petroleum
EMBR3,Embraer
ELET3,Eletrobras
RDOR3,Rede D'Or
SMTO3,São Martinho
CEAB3,C&A
JHSF3,JHSF
VBBR3,Vibra Energia
SIMH3,Simpar
ENEV3,Eneva
RECV3,PetroRecôncavo
VULC3,Vulcabras
CCRO3,Grupo CCR
CSAN3,Cosan
BRKM5,Braskem
ECOR3,EcoRodovias
FLRY3,Fleury
STBP3,Santos Brasil
LJQQ3,Lojas Quero-Quero
CPFE3,CPFL Energia
GUAR3,Guararapes
USIM3,Usiminas
IRBR3,IRB Brasil RE
PDGR3,PDG Realty
PSSA3,Porto Seguro
JBSS3,JBS
SBSP3,Sabesp
SAPR4,Sanepar
ALPA4,Alpargatas
SLCE3,SLC Agrícola
CSMG3,COPASA
RAPT4,Randon
ALOS3,ALOS3
EZTC3,EZTEC
TOTS3,Totvs
MBLY3,Mobly
CURY3,Cury
POSI3,Positivo
VIVT3,Vivo
AESB3,AES Brasil
ONCO3,Oncoclínicas
ODPV3,Odontoprev
KLBN4,Klabin
MYPK3,Iochpe-Maxion
SMFT3,Smart Fit
KEPL3,Kepler Weber
ESPA3,Espaçolaser
TRPL4,Transmissão Paulista
EGIE3,Engie
INTB3,Intelbras
SEER3,Ser Educacional
VIVA3,Vivara
GGPS3,GPS
BRSR6,Banrisul
CLSA3,ClearSale
MILS3,Mills
TTEN3,3tentos
DIRR3,Direcional
GRND3,Grendene
HBRE3,HBR Realty
AZEV4,Azevedo & Travassos
ENAT3,Enauta
SRNA3,SRNA3
BPAN4,Banco Pan
MEAL3,IMC Alimentação
SOJA3,Boa Safra Sementes
ITUB3,Itaú Unibanco
CAML3,Camil Alimentos
BMGB4,Banco BMG
PINE4,PINE
ZAMP3,Zamp
PTBL3,Portobello
JALL3,Jalles Machado
RANI3,Irani
ENJU3,Enjoei
OPCT3,OceanPact
BRIT3,Brisanet
FESA4,Ferbasa
LUPA3,Lupatech
MDNE3,Moura Dubeux
AMBP3,Ambipar
CSED3,Cruzeiro do Sul Educacional
MATD3,Mater Dei
DESK3,Desktop
TRIS3,Trisul
NEOE3,Neoenergia
EVEN3,Even
AMAR3,Lojas Marisa
VLID3,Valid
CMIG3,CEMIG
ELET6,Eletrobras
LEVE3,Mahle Metal Leve
ABCB4,Banco ABC Brasil
PLPL3,Plano&Plano
ARML3,Armac
HBOR3,Helbor
FRAS3,Fras-le
SAPR3,Sanepar
ETER3,Eternit
NGRD3,Neogrid
MDIA3,M. Dias Branco
TUPY3,Tupy
SHOW3,Time For Fun
BLAU3,Blau Farmacêutica
PNVL3,Dimed
SHUL4,Schulz
SGPS3,Springs
VVEO3,Viveo
KLBN3,Klabin
AZEV3,Azevedo & Travassos
PFRM3,Profarma
LIGT3,Light
WIZC3,Wiz Soluções
KRSA3,Kora Saúde
ORVR3,Orizon
RNEW4,Renova Energia
DASA3,Dasa
NINJ3,GetNinjas
TASA4,Taurus
PORT3,Wilson Sons
VIVR3,Viver
TRAD3,Traders Club
LAVV3,Lavvi Incorporadora
ROMI3,Indústrias ROMI
BMOB3,Bemobi
OIBR4,Oi
SYNE3,SYN
AGRO3,BrasilAgro
UNIP6,Unipar
FIQE3,Unifique
TAEE4,Taesa
PRNR3,Priner
POMO3,Marcopolo
OSXB3,OSX Brasil
TCSA3,Tecnisa
CTNM4,Coteminas
ITSA3,Itaúsa
TGMA3,Tegma
IGTI3,Iguatemi
IGTI3,Jereissati Participações
INEP3,Inepar
ALPK3,Estapar
UCAS3,Unicasa
LOGG3,LOG CP
JSLG3,JSL
SANB4,Banco Santander
AGXY3,AgroGalaxy
SANB3,Banco Santander
PDTC3,Padtec
RSID3,Rossi Residencial
DEXP3,Dexxos
MELK3,Melnick
TAEE3,Taesa
LPSB3,Lopes
WEST3,Westwing
GGBR3,Gerdau
TFCO4,Track & Field
INEP4,Inepar
LVTC3,WDC Networks
CSUD3,CSU Cardsystem
TECN3,Technos
GOAU3,Metalúrgica Gerdau
LAND3,Terra Santa
RNEW3,Renova Energia
EUCA4,Eucatex
DMVF3,D1000 Varejo Farma
CTSA4,Santanense
ELMD3,Eletromidia
PMAM3,Paranapanema
RAPT3,Randon
ALLD3,Allied
SNSY3,Sansuy
AALR3,Alliança
BRAP3,Bradespar
BRKM3,Braskem
BMIN4,Banco Mercantil de Investimentos
TPIS3,Triunfo
SNSY5,Sansuy
BOBR4,Bombril
ATMP3,Atma
ENGI4,Energisa
CAMB3,Cambuci
FRTA3,Pomi Frutas
DOTZ3,Dotz
LOGN3,Log-In
UNIP3,Unipar
ALUP3,Alupar
ALUP4,Alupar
ATOM3,ATOM
BMEB4,Banco Mercantil do Brasil
CGRA4,Grazziotin
BRIV3,Alfa Investimento
HOOT4,Hotéis Othon
NUTR3,Nutriplant
CEBR6,CEB
SCAR3,São Carlos
CEBR3,CEB
TASA3,Taurus
OFSA3,Ourofino Saúde Animal
CEBR5,CEB
BEES3,Banestes
BRSR3,Banrisul
MERC4,Mercantil do Brasil Financeira
ENGI3,Energisa
CTSA3,Santanense
BPAC5,Banco BTG Pactual
CRPG5,Tronox Pigmentos
REDE3,Rede Energia
HAGA4,Haga
VSTE3,LE LIS BLANC
COCE5,Coelce
BIOM3,Biomm
WHRL3,Whirlpool
EQPA3,Equatorial Energia Pará
RPAD5,Alfa Holdings
NORD3,Nordon
FHER3,Fertilizantes Heringer
EPAR3,Embpar Participações
RSUL4,Metalúrgica Riosulense
MAPT4,Cemepe
TRPL3,Transmissão Paulista
JFEN3,João Fortes
PTNT3,Pettenati
CLSC4,Celesc
RPMG3,Refinaria de Manguinhos
DOHL4,Döhler
PINE3,PINE
BGIP4,Banese
BPAC3,Banco BTG Pactual
NEXP3,Brasil Brokers
HAGA3,Haga
BMIN3,Banco Mercantil de Investimentos
EALT4,Electro Aço Altona
EMAE4,EMAE
MTSA4,METISA
AFLT3,Afluente T
BAZA3,Banco da Amazônia
APER3,Alper
BEES4,Banestes
PEAB4,Participações Aliança da Bahia
HBTS5,Habitasul
CEDO4,Cedro Têxtil
TELB4,Telebras
WHRL4,Whirlpool
FESA3,Ferbasa
CGAS5,Comgás
BMEB3,Banco Mercantil do Brasil
BSLI4,Banco de Brasília
RDNI3,RNI
WLMM4,WLM
MWET4,Wetzel
CEEB3,COELBA
CGRA3,Grazziotin
FRIO3,Metalfrio
CRPG6,Tronox Pigmentos
CRIV3,Alfa Financeira
AVLL3,Alphaville
DTCY3,Dtcom
PEAB3,Participações Aliança da Bahia
EUCA3,Eucatex
PTNT4,Pettenati
CRIV4,Alfa Financeira
CTKA4,Karsten
MGEL4,Mangels
BRGE3,Consórcio Alfa
BRIV4,Alfa Investimento
EALT3,Electro Aço Altona
CEEB5,COELBA
TEKA4,Teka
PATI3,Panatlântica
CPLE5,Copel
BSLI3,Banco de Brasília
DEXP4,Dexxos
CTNM3,Coteminas
ALPA3,Alpargatas
PLAS3,Plascar
HETA4,Hercules
BMKS3,Monark
BAHI3,Bahema
TELB3,Telebras
CLSC3,Celesc
RPAD3,Alfa Holdings
BNBR3,Banco do Nordeste
BRGE12,Consórcio Alfa
GEPA3,Rio Paranapanema Energia
TKNO4,Tekno
EQMA3B,Equatorial Maranhão
CSRN5,COSERN
GEPA4,Rio Paranapanema Energia
JOPA3,Josapar
DOHL3,Döhler
MNPR3,Minupar
BALM3,Baumer
BDLL4,Bardella
BALM4,Baumer
BAUH4,Excelsior
UNIP5,Unipar
BGIP3,Banese
MOAR3,Monteiro Aranha
MNDL3,Mundial
BRGE6,Consórcio Alfa
IGTI4,Jereissati Participações
IGTI4,Iguatemi
ESTR4,Estrela
PATI4,Panatlântica
RPAD6,Alfa Holdings
AHEB5,São Paulo Turismo
CEED4,CEEE D
EQPA6,Equatorial Energia Pará
CSRN3,COSERN
EQPA5,Equatorial Energia Pará
LUXM4,Trevisa
CTKA3,Karsten
CBEE3,Ampla Energia
EKTR4,Elektro
CSRN6,COSERN
CEED3,CEEE D
EQPA7,Equatorial Energia Pará
BDLL3,Bardella
CALI3,Adolpho Lindenberg
CGAS3,Comgás
ESTR3,Estrela
MRSA3B,MRS Logística
ENMT3,Energisa MT
ELET5,Eletrobras
BRGE8,Consórcio Alfa
MRSA6B,MRS Logística
MRSA5B,MRS Logística
BRKM6,Braskem
USIM6,Usiminas
FIEI3,Fica
SOND5,Sondotécnica
CEDO3,Cedro Têxtil
MAPT3,Cemepe
WLMM3,WLM
SOND6,Sondotécnica
GSHP3,General Shopping & Outlets
BRSR5,Banrisul
ENMT4,Energisa MT
BRGE11,Consórcio Alfa
LIPR3,Eletropar
CSAB3,Cia. de Seg. Aliança da Bahia
CSAB4,Cia. de Seg. Aliança da Bahia
AHEB3,São Paulo Turismo
CRPG3,Tronox Pigmentos
MEGA3,OMEGA ENERGIA S.A.
DMFN3,DM Financeira
BRGE5,Consórcio Alfa
GPAR3,CELGPAR
SQIA3,Sinqia
BRGE7,Consórcio Alfa
ALSO3,Aliansce Sonae
BRPR3,BR Properties
MTSA3,METISA
SLED4,Saraiva
SLED3,Saraiva
AHEB6,São Paulo Turismo
VIIA3,VIIA3
EKTR3,Elektro
MWET3,Wetzel
ENBR3,EDP Brasil
BOAS3,Boa Vista
COCE3,Coelce
JOPA4,Josapar
MODL3,Banco Modal
MERC3,Mercantil do Brasil Financeira
CEGR3,Naturgy (CEG)
CRDE3,CRDE3
IGBR3,IGB Eletrônica
MSPA4,Melhoramentos
ODER4,Conservas Oderich
PARD3,Hermes Pardini
CASN3,CASAN
WIZS3,WIZS3
LLIS3,LLIS3
MSPA3,Melhoramentos
BRML3,BRMalls
DMMO3,Dommo Energia
GETT3,Getnet
GETT4,Getnet
SULA4,SulAmérica
SULA3,SulAmérica
CEPE5,CELPE
TCNO4,Tecnosolo
TCNO3,Tecnosolo
CEPE6,CELPE
BKBR3,BKBR3
MTIG4,Metalgráfica Iguaçu
BLUT4,Blue Tech Solutions
BLUT3,Blue Tech Solutions
MODL4,Banco Modal
CARD3,CARD3
SHUL3,Schulz
FIGE3,Investimentos Bemge
FNCN3,FNCN3
TEKA3,Teka
HETA3,Hercules
LCAM3,Locamerica
BIDI4,Banco Inter
BIDI3,Banco Inter
EEEL4,CEEE GT
EEEL3,CEEE GT
BBRK3,BBRK3
SOND3,Sondotécnica
CESP6,CESP
CESP3,CESP
CESP5,CESP
ECPR4,Encorpar
MOSI3,Mosaico
POWE3,Focus Energia
ECPR3,Encorpar
GNDI3,NotreDame Intermédica
LAME4,Lojas Americanas
LAME3,Lojas Americanas
OMGE3,Omega Geração
IGTA3,IGTA3
JPSA3,JPSA3
BRDT3,BRDT3
JBDU4,JBDU4
JBDU3,JBDU3
HGTX3,Hering
CCPR3,CCPR3
DTEX3,DTEX3
VVAR3,VVAR3
PNVL4,Dimed
TESA3,Terra Santa
BTOW3,BTOW3
LINX3,Linx
BTTL3,BTTL3
GPCP3,GPCP3
GPCP4,GPCP4
SMLS3,Smiles
MMXM3,MMX Mineração
BSEV3,Biosev
CNTO3,CNTO3
TIET4,AES Tietê Energia
TIET3,AES Tietê Energia
CORR4,Corrêa Ribeiro
CEPE3,CELPE
CALI4,Adolpho Lindenberg
SNSY6,Sansuy
CASN4,CASAN
EMAE3,EMAE
BPAR3,Banpará
APTI4,Aliperti
VSPT3,FCA
MTIG3,Metalgráfica Iguaçu
FIGE4,Investimentos Bemge
LUXM3,Trevisa
TKNO3,Tekno
COCE6,Coelce
MGEL3,Mangels
CTSA8,Santanense
MMAQ4,Minasmáquinas